鄉鎮市區,交易筆棟數_土地,交易筆棟數_建物,交易筆棟數_車位,移轉層次,總樓層數,建物型態,主要用途,主要建材,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,有無附傢俱,年份(+1911),月份,建築完成年,建築完成月,成交時屋齡, 總價.元. ,單價.元.坪,土地移轉總面積.坪,建物移轉總面積.坪,車位移轉總面積.坪,交易標的橫坐標,交易標的縱坐標,Longitude,Latitude
士林區,1,1,1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,4,2,2,有,有,NA,2012,6,2005,5,7,33660000,506747.1074,15.07955714,66.4226511,0,303783,2776930,121.53325,25.09964
士林區,1,0,0,0,NA,其他,NA,NA,0,0,0,有,無,NA,2012,7,NA,NA,NA,907500,500000,1.814991833,0,0,300795,2775762,121.50358,25.0892
文山區,2,1,1,五層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,3,2,2,有,有,NA,2012,7,1996,9,16,11388000,331269.4215,20.21598403,34.37594531,0,307049,2764938,121.56513,24.99126
中正區,1,1,0,二層,5,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,3,2,2,有,有,NA,2012,7,1998,6,14,20840000,772823.1405,10.54207756,26.96472866,0,303494,2767855,121.53003,25.01773
文山區,2,1,0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,1,1,有,無,NA,2012,8,1981,12,31,17000000,505018.1818,9.861455623,33.66204852,0,307196,2764815,121.56658,24.99015
文山區,1,1,0,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1,1,0,有,有,NA,2012,7,2008,5,4,4850000,423560.3306,3.028011374,11.44957348,0,308562,2764011,121.58008,24.98284
中正區,2,2,0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1,1,1,有,無,NA,2012,7,1980,4,32,10860000,677021.4876,3.091536088,16.04150281,0,301584,2769110,121.51115,25.02912
文山區,1,1,0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1,1,1,有,有,NA,2012,7,1994,1,18,7280000,419256.1983,5.38447577,17.36342186,0,307021,2764176,121.56482,24.98438
文山區,2,1,0,一層，騎樓,5,店面(店鋪),商業用,鋼筋混凝土造,0,0,1,有,無,NA,2012,7,1979,5,33,20810000,700472.7273,11.5100732,29.70839131,0,306490,2764890,121.55959,24.99085
中正區,1,1,1,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2,1,1,有,有,NA,2012,5,2007,1,5,16000000,665487.6033,3.917357372,24.04259181,0,303271,2770442,121.52792,25.04109
中山區,1,1,0,七層,8,套房(1房1廳1衛),商業用,鋼筋混凝土造,1,1,1,有,無,NA,2012,7,2000,3,12,7100000,630806.6116,2.298989655,11.25597435,0,304545,2772660,121.54063,25.06107
萬華區,1,1,1,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,3,2,2,有,無,NA,2012,7,2011,8,1,26300000,548631.405,7.91336439,51.65769254,5.904773429,300116,2769100,121.4966,25.02908
內湖區,1,1,0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2,1,2,有,有,NA,2012,7,1993,12,19,9650000,494664.4628,6.077197653,19.50813721,0,309179,2775616,121.58669,25.08758
中山區,0,1,0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,4,2,2,有,無,NA,2012,7,1980,12,32,19000000,431123.9669,7.235767439,44.07102668,0,304005,2772750,121.53528,25.0619
信義區,1,1,0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2,2,2,有,有,NA,2012,6,1981,4,31,13700000,457791.7355,8.77548551,29.92619033,0,307917,2768036,121.57386,25.0192
內湖區,3,1,0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,2,2,有,無,NA,2012,7,1984,11,28,9800000,316251.2397,8.687760905,30.98796055,0,312403,2773631,121.61856,25.06953
中山區,1,1,0,八層,8,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,1,1,1,有,有,NA,2012,7,2002,3,10,7650000,640882.6446,2.967511646,11.93659629,0,303322,2773037,121.52852,25.06451
內湖區,1,1,2,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,3,2,2,有,有,NA,2012,7,2012,4,0,34820000,542019.8347,27.48200133,83.776998,24.70203884,311948,2774438,121.61408,25.07683
中山區,1,0,0,0,NA,其他,NA,NA,0,0,0,有,無,NA,2012,8,NA,NA,NA,800000,1578882.645,0.508197713,0,0,303431,2771738,121.52955,25.05278
內湖區,1,1,0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2,2,1,有,有,NA,2012,7,1994,7,18,9660000,415322.314,5.296751165,23.25912033,0,309662,2775833,121.59148,25.08952
內湖區,1,1,1,七層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2,2,1,有,有,NA,2012,7,1994,7,18,16800000,394925.6198,7.982939077,42.54038357,12.23606994,309638,2775858,121.59125,25.08975
松山區,1,1,1,六層,11,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,3,2,2,有,有,NA,2012,7,1997,7,15,32350000,632287.6033,10.85667614,51.16461976,0,305931,2771903,121.55434,25.05418
中山區,1,1,0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1,1,1,有,有,NA,2012,6,1975,9,37,4370000,386677.686,2.831387259,11.30134914,0,302942,2773356,121.52477,25.06741
松山區,1,1,0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,4,2,2,有,無,NA,2012,5,NA,NA,NA,26000000,673963.6364,15.72992922,38.5776514,0,305571,2771787,121.55076,25.05315
內湖區,1,1,0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,4,2,2,有,有,NA,2012,7,1984,1,28,19600000,467047.9339,16.30770162,41.96563615,0,308664,2774304,121.58153,25.07576
中山區,1,1,0,一層，騎樓,3,店面(店鋪),NA,加強磚造,0,0,0,無,無,NA,2012,7,NA,NA,NA,19100000,714988.4298,10.58745236,26.71365479,0,303307,2773418,121.52839,25.06796
