"","交易筆棟數_土地","交易筆棟數_建物","交易筆棟數_車位","移轉層次","總樓層數","建物型態","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","成交時屋齡","單價.元.坪","土地移轉總面積.坪","建物移轉總面積.坪","交易標的橫坐標","交易標的縱坐標","Longitude","Latitude"
"19",1.34929906542056,1.07710280373832,0.495327102803738,4.78504672897196,8.46845794392523,2.93691588785047,2.59228971962617,1.63200934579439,1.60747663551402,0.955607476635514,0.575934579439252,14.9439252336449,549876.222299066,9.08953981483644,39.0709643936916,306048.492990654,2772430.51869159,121.555522780374,25.0589375116823
"20",1.3410740203193,1.04644412191582,0.53410740203193,4.72859216255443,8.89840348330914,3.01161103047896,2.60957910014514,1.66182873730044,1.63570391872279,0.950653120464441,0.577648766328012,13.6313497822932,631034.950629898,8.8944346788389,41.0837098969521,306225.65892598,2772272.96226415,121.557274020319,25.0575093613934
"21",1.48441247002398,1.07434052757794,0.616306954436451,5.21342925659472,9.5083932853717,2.97362110311751,2.57553956834532,1.5947242206235,1.80335731414868,0.94484412470024,0.62589928057554,11.589928057554,864917.319697842,9.52085815539568,46.3258023549161,304996.522781775,2771412.01918465,121.545058273381,25.0497830215827
"22",1.48459383753501,1.06442577030812,0.585434173669468,4.81232492997199,9.15966386554622,2.93837535014006,2.58823529411765,1.66386554621849,1.76750700280112,0.966386554621849,0.644257703081233,12.5602240896359,923584.452647058,9.68546414677871,45.6095922913165,304991.268907563,2770922.83753501,121.544982352941,25.0453675070028
"23",1.32763819095477,1.06030150753769,0.366834170854271,4.31155778894472,7.70753768844221,2.75276381909548,2.68643216080402,1.6713567839196,1.63015075376884,0.968844221105528,0.498492462311558,17.4150753768844,465432.15582814,9.4720105715578,35.2767406281407,305543.079396985,2772223.65125628,121.55050241206,25.057087959799
"24",1.58892128279883,1.05685131195335,0.291545189504373,3.69679300291545,6.61661807580175,2.56851311953353,2.51603498542274,1.53790087463557,1.46355685131195,0.928571428571429,0.409620991253644,20.6836734693878,306230.754412536,9.97758232711369,33.1902782975218,304509.613702624,2772268.89795918,121.540256851312,25.0575320553936
"25",1.48598130841122,1.18691588785047,0.523364485981308,2.75700934579439,9.31775700934579,2.92523364485981,2.02803738317757,1.24299065420561,1.14953271028037,0.813084112149533,0.457943925233645,18.7102803738318,54453.5722616823,9.29920425460748,35.2463503558224,303481.074766355,2773964.96261682,121.530125233645,25.0728813084112
"26",1.23949579831933,1.07563025210084,0.689075630252101,4.47058823529412,8.70168067226891,2.97058823529412,2.6218487394958,1.53361344537815,2.02100840336134,0.915966386554622,0.638655462184874,11.6890756302521,989135.051084034,13.4923547506681,53.6275049579832,305008.382352941,2771000.00840336,121.545154201681,25.0460635714286
"27",1.38475836431227,1.06505576208178,0.37360594795539,4.54646840148699,8.28996282527881,2.95724907063197,2.81226765799257,1.63568773234201,1.64498141263941,0.962825278810409,0.485130111524164,16.7695167286245,158386.764576208,10.0881889694981,41.9041703382899,303799.933085502,2771257.42750929,121.533191078067,25.0484281040892
"28",1.34325396825397,1.04761904761905,0.488095238095238,5.15674603174603,9.34523809523809,3.00793650793651,2.64087301587302,1.59722222222222,1.68650793650794,0.952380952380952,0.583333333333333,14.8849206349206,744606.880513888,9.87962942003967,41.9207652361111,305499.712301587,2772076.41666667,121.550070833333,25.0557618253968
"29",1.3880266075388,1.04212860310421,0.478935698447894,5.01108647450111,9.24611973392461,2.92461197339246,2.52106430155211,1.6119733924612,1.66075388026608,0.951219512195122,0.594235033259424,12.6541019955654,780662.62302439,8.39508837405766,41.052002691796,305139.569844789,2771748.05099778,121.54648691796,25.0528111973392
"30",1.33145009416196,1.04708097928437,0.508474576271186,5.17702448210923,9.70244821092279,2.98681732580038,2.67419962335217,1.64971751412429,1.69679849340866,0.954802259887006,0.566854990583804,13.7909604519774,711023.542047081,9.35780966478343,43.5564828305085,305740.813559322,2772042.30131827,121.552456308851,25.0554448964219
